2026-03-06 23:10:47,056 | INFO | 127.0.0.1 | POST /auth/login | 200 | 1400.15ms
2026-03-06 23:10:48,341 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 85.85ms
2026-03-06 23:10:48,420 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 75.82ms
2026-03-06 23:11:11,918 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 76.39ms
2026-03-06 23:11:12,001 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 77.67ms
2026-03-06 23:11:47,953 | INFO | 127.0.0.1 | PATCH /form/update-profile | 200 | 62.89ms
2026-03-06 23:11:49,316 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 75.76ms
2026-03-06 23:11:49,411 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 78.96ms
2026-03-06 23:12:05,017 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 75.88ms
2026-03-06 23:12:05,098 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 75.46ms
2026-03-06 23:12:07,404 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 82.57ms
2026-03-06 23:12:07,490 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 80.59ms
2026-03-06 23:12:10,624 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 76.71ms
2026-03-06 23:12:11,609 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 980.44ms
2026-03-06 23:12:12,387 | INFO | 127.0.0.1 | GET /form/github/contributions/HarishDevanathan | 200 | 1717.98ms
2026-03-06 23:12:13,913 | INFO | 127.0.0.1 | GET /form/github/contributions/HarishDevanathan | 200 | 1521.58ms
2026-03-06 23:13:07,261 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 76.63ms
2026-03-06 23:13:07,344 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 77.33ms
2026-03-06 23:13:10,450 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 80.03ms
2026-03-06 23:13:10,532 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 79.12ms
2026-03-06 23:13:21,899 | INFO | 127.0.0.1 | POST /form/leetcode/getcode | 200 | 48.0ms
2026-03-06 23:15:46,621 | INFO | 127.0.0.1 | POST /form/leetcode/link | 200 | 1555.85ms
2026-03-06 23:15:47,714 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 81.83ms
2026-03-06 23:15:52,915 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 82.91ms
2026-03-06 23:15:53,006 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 83.47ms
2026-03-06 23:15:57,562 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 77.35ms
2026-03-06 23:15:57,642 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 77.26ms
2026-03-06 23:16:02,431 | INFO | 127.0.0.1 | PATCH /form/update-profile | 200 | 66.14ms
2026-03-06 23:16:03,811 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 85.35ms
2026-03-06 23:16:03,902 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 83.57ms
2026-03-06 23:16:10,155 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 81.74ms
2026-03-06 23:16:10,242 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 82.3ms
2026-03-06 23:16:11,341 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 77.67ms
2026-03-06 23:16:11,422 | INFO | 127.0.0.1 | GET /form/get-profile/harishdevanathan123@gmail.com | 200 | 76.73ms
